Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Social Structure,Offspring per Birth
Sumatran Orangutan,83.0,39.5,Reddish-Brown,40.0,Omnivore,Rainforests,"Tigers, Humans",35.0,Sumatra,Critically Endangered,Hominidae,95.0,Solitary,1.0
Sumatran Rhino,122.5,850.0,Reddish-Brown,37.5,Herbivore,Rainforests,"Tigers, Humans",40.0,Southeast Asia,Critically Endangered,Rhinocerotidae,535.0,Solitary,1.0
Sumatran Rhinoceros,128.5,725.0,Brown,37.5,Herbivore,Rainforests,"Tigers, Humans",52.0,Southeast Asia,Critically Endangered,Rhinocerotidae,450.0,Solitary,1.0
Sumatran Tiger,78.5,84.0,"Orange, Black Stripes",17.5,Carnivore,Rainforests,"Leopards, Humans",24.0,Sumatra,Critically Endangered,Felidae,185.0,Solitary,3.0
Sun Bear,135.0,53.5,Black,27.5,Omnivore,Tropical Forests,"Tigers, Leopards",44.0,Southeast Asia,Vulnerable,Ursidae,120.0,Solitary,1.5
Tapir,95.0,275.0,"Brown, Black",27.5,Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",48.0,South and Central America,Vulnerable,Tapiridae,392.5,Solitary,1.0
Tarsier,16.0,0.2,"Gray, Brown",16.0,Carnivore,Rainforests,"Birds, Snakes",45.0,"Southeast Asia, Philippines",Vulnerable,Tarsiidae,195.0,Solitary,1.0
Tasmanian Devil,53.0,9.0,"Black, White",6.5,Carnivore,"Forests, Grasslands",Tasmanian Tigers,16.0,"Tasmania, Australia",Endangered,Dasyuridae,24.5,Solitary,25.0
Tasmanian Tiger,115.0,25.0,Yellow-brown,5.5,Carnivore,Australia,"Humans, Dingoes",56.0,Australia,Extinct,Thylacinidae,124.5,Solitary,3.0
Thorny Devil,20.0,85.0,"Brown, Tan",12.5,Carnivore,"Deserts, Scrublands","Birds, Snakes",0.24,Australia,Least Concern,Agamidae,105.0,Solitary,6.5
Three-Toed Sloth,52.0,8.0,"Brown, Gray",10.0,Herbivore,Rainforests,Harpy Eagles,20.0,Central and South America,Least Concern,Bradypodidae,35.0,Solitary,1.5
Tibetan Mastiff,69.5,69.0,"Black, Brown, Gray",11.0,Omnivore,Human Dwellings,"Wolves, Bears",45.0,"Asia, Tibet",Least Concern,Canidae,70.0,Social groups,5.5
Tiger,120.5,245.0,"Orange, Black Stripes",12.5,Carnivore,Rainforests,"Humans, Leopards",28.0,"Asia, Russia",Endangered,Felidae,295.0,Solitary,2.5
Titanoboa,1440.0,24950.0,Dark Brown,12.5,Carnivore,Wetlands,"Fish, Crocodiles",27.0,South America,Extinct (around 58 million years ago),Boidae,445.0,Solitary,100.0
Toco Toucan,60.0,620.0,"Black, Orange, Yellow",8.0,Omnivore,Rainforests,"Birds of Prey, Jaguars",35.5,South America,Least Concern,Ramphastidae,18.5,Flocks,3.0
Tree Kangaroo,65.0,6.0,"Brown, Red",17.5,Herbivore,Rainforests,"Quolls, Pythons",30.0,"Papua New Guinea, Indonesia",Endangered,Macropodidae,128.0,Solitary,1.0
Tuatara,80.0,1.5,Grayish-brown,100.0,Carnivore,"Islands, Coastal Areas","Rats, Cats",0.03,New Zealand,Vulnerable,Rhynchocephalia,13.5,Solitary,16.0
Tufted Puffin,38.0,0.7,"Black, White",20.0,Carnivore,Coastal Areas,"Eagles, Falcons",17.0,North Pacific,Least Concern,Alcidae,126.0,Social groups,1.0
Uakari,51.0,2.5,"Bald, Red",12.5,Omnivore,Rainforests,"Jaguars, Snakes",20.0,Amazon Basin,Vulnerable,Pitheciidae,125.0,Group-based,3.5
Vampire Bat,9.0,0.05,Brown,10.0,Carnivore,"Caves, Forests","Hawks, Owls",32.0,Americas,Least Concern,Phyllostomidae,60.0,Colony-based,1.0
Vaquita,150.0,55.0,"Grey, White",20.5,Carnivore,Gulf of California,"Nets, Sharks",5.1,"Gulf of California, Mexico",Critically Endangered,Phocoenidae,10.5,Solitary,1.0
Walrus,3200.0,1200.0,Brown,45.0,Carnivore,"Arctic, Coastal Areas","Polar Bears, Orcas",40.0,"Arctic, Subarctic",Least Concern,Odobenidae,22.5,Group-based,200.0
Warthog,117.5,105.0,"Brown, Black",17.5,Omnivore,"Savannas, Grasslands","Lions, Leopards",20.0,Sub-Saharan Africa,Least Concern,Suidae,190.0,Group-based,18.0
Water Buffalo,250.0,750.0,Dark Gray,22.5,Herbivore,"Grasslands, Wetlands","Tigers, Crocodiles",40.0,"Asia, Africa",Least Concern,Bovidae,255.0,Group-based,265.0
Western Gorilla,170.0,125.0,Black,35.0,Herbivore,Rainforests,"Leopards, Humans",40.0,Central Africa,Critically Endangered,Hominidae,245.0,Social groups,1.0
Western Lowland Gorilla,170.0,124.5,Black,35.0,Herbivore,Rainforests,"Leopards, Humans",40.0,Central Africa,Critically Endangered,Hominidae,245.0,Social groups,1.0
Whale Shark,1800.0,1500.0,"Gray, White",85.0,Herbivore,Oceans,"Orcas, Larger Sharks",70.0,Worldwide,Endangered,Rhincodontidae,125.0,Solitary,1.0
White Rhinoceros,1850.0,2150.0,Gray,45.0,Herbivore,Grasslands,"Lions, Hyenas",45.0,Eastern and Southern Africa,Near Threatened,Rhinocerotidae,270.0,Group-based,7.5
White Tiger,250.0,200.0,"White, Black Stripes",12.5,Carnivore,Rainforests,"Humans, Leopards",22.0,"India, Southeast Asia",Critically Endangered,Felidae,245.0,Solitary,1.0
Wild Boar,82.5,75.0,"Brown, Black",17.5,Omnivore,"Forests, Grasslands","Tigers, Leopards",20.0,"Eurasia, North Africa, Americas",Least Concern,Suidae,175.0,Group-based,18.0
Wildebeest,210.0,295.0,"Gray, Black",22.5,Herbivore,Grasslands,"Lions, Crocodiles",47.0,Eastern and Southern Africa,Least Concern,Bovidae,255.0,Group-based,500.5
Wolf,73.5,51.5,"Gray, White",10.5,Carnivore,"Forests, Grasslands","Bears, Humans",45.0,"Eurasia, North America, North Africa",Least Concern,Canidae,125.0,Group-based,11.0
Wolverine,37.5,17.0,Dark Brown,9.5,Carnivore,"Boreal Forests, Tundra","Bears, Wolves",63.0,"North America, Europe, Asia",Least Concern,Mustelidae,42.5,Solitary,2.5
Wombat,101.0,27.5,"Brown, Gray",7.5,Herbivore,"Forests, Grasslands","Dingoes, Tasmanian Devils",20.0,Australia,Least Concern,Vombatidae,132.0,Solitary,1.0
Yak,150.0,850.0,"Brown, Black",22.5,Herbivore,Mountains,"Snow Leopards, Wolves",24.0,"Himalayas, Central Asia",Least Concern,Bovidae,247.5,Group-based,30.0
Yellow-Eyed Penguin,62.5,2.0,"Yellow, White",20.0,Carnivore,Coastal Areas,"Seals, Orcas",25.0,New Zealand,Endangered,Spheniscidae,85.0,Solitary,1.0
Zebra,280.0,650.0,"Black, White",22.5,Herbivore,Grasslands,"Lions, Hyenas",25.0,Africa,Least Concern,Equidae,272.5,Group-based,12.5
Zebra Shark,330.0,32.0,"Brown, Yellowish",27.5,Carnivore,Coral Reefs,Larger Fish,20.0,Indo-Pacific region,Endangered,Stegostomatidae,17.5,Solitary,25.0
